GO.ID,Term,Annotated,Significant,Expected,classic
GO:0032550,purine ribonucleoside binding,20,1,0.53,0.94797
GO:0032561,guanyl ribonucleotide binding,20,1,0.53,0.94797
GO:0035639,purine ribonucleoside triphosphate bindi...,224,23,5.99,0.95116
GO:0016788,hydrolase activity, acting on ester bond...,33,2,0.88,0.95237
GO:0016740,transferase activity,183,18,4.89,0.95535
GO:0003690,double-stranded DNA binding,45,3,1.2,0.95703
GO:0032555,purine ribonucleotide binding,228,23,6.09,0.96049
GO:0000976,transcription regulatory region sequence...,35,2,0.94,0.96277
GO:0043565,sequence-specific DNA binding,57,4,1.52,0.96304
GO:0017076,purine nucleotide binding,230,23,6.15,0.96455
GO:0001067,regulatory region nucleic acid binding,36,2,0.96,0.96711
GO:0044212,transcription regulatory region DNA bind...,36,2,0.96,0.96711
GO:1990837,sequence-specific double-stranded DNA bi...,36,2,0.96,0.96711
GO:0001882,nucleoside binding,24,1,0.64,0.97121
GO:0032549,ribonucleoside binding,24,1,0.64,0.97121
GO:0032553,ribonucleotide binding,234,23,6.25,0.97159
GO:0043168,anion binding,282,28,7.54,0.97852
GO:0003682,chromatin binding,26,1,0.69,0.97858
GO:0097367,carbohydrate derivative binding,240,23,6.41,0.97983
GO:0005515,protein binding,534,58,14.27,0.98065
GO:0061630,ubiquitin protein ligase activity,27,1,0.72,0.98152
GO:0061659,ubiquitin-like protein ligase activity,27,1,0.72,0.98152
GO:0016787,hydrolase activity,207,19,5.53,0.98234
GO:0036094,small molecule binding,271,26,7.24,0.98479
GO:0000166,nucleotide binding,250,23,6.68,0.98892
GO:1901265,nucleoside phosphate binding,250,23,6.68,0.98892
GO:0015075,ion transmembrane transporter activity,34,1,0.91,0.99344
GO:0015318,inorganic molecular entity transmembrane...,34,1,0.91,0.99344
GO:0003700,DNA-binding transcription factor activit...,52,2,1.39,0.99575
GO:0050662,coenzyme binding,39,1,1.04,0.99687
GO:0005509,calcium ion binding,104,6,2.78,0.99723
GO:0140110,transcription regulator activity,59,2,1.58,0.99831
GO:0005089,Rho guanyl-nucleotide exchange factor ac...,65,2,1.74,0.99924
GO:0003677,DNA binding,154,9,4.12,0.99950
GO:0003824,catalytic activity,443,38,11.84,0.99972
GO:0048037,cofactor binding,63,1,1.68,0.99991
GO:0003723,RNA binding,141,6,3.77,0.99995
GO:0043167,ion binding,639,51,17.08,1.00000
GO:0003676,nucleic acid binding,285,15,7.62,1.00000
GO:0043169,cation binding,450,30,12.03,1.00000
GO:0046872,metal ion binding,450,30,12.03,1.00000
GO:0097159,organic cyclic compound binding,484,33,12.93,1.00000
GO:1901363,heterocyclic compound binding,484,33,12.93,1.00000
GO:0005488,binding,1014,81,27.1,1.00000
GO:0003674,molecular_function,1101,86,29.42,1.00000
GO:0000014,single-stranded DNA endodeoxyribonucleas...,3,0,0.08,1.00000
GO:0000030,mannosyltransferase activity,2,0,0.05,1.00000
GO:0000049,tRNA binding,1,0,0.03,1.00000
GO:0000175,3'-5'-exoribonuclease activity,1,0,0.03,1.00000
GO:0000700,mismatch base pair DNA N-glycosylase act...,1,0,0.03,1.00000
GO:0000978,RNA polymerase II proximal promoter sequ...,16,0,0.43,1.00000
GO:0000979,RNA polymerase II core promoter sequence...,2,0,0.05,1.00000
GO:0000982,transcription factor activity, RNA polym...,19,0,0.51,1.00000
GO:0000987,proximal promoter sequence-specific DNA ...,16,0,0.43,1.00000
GO:0000993,RNA polymerase II complex binding,2,0,0.05,1.00000
GO:0001046,core promoter sequence-specific DNA bind...,9,0,0.24,1.00000
GO:0001047,core promoter binding,10,0,0.27,1.00000
GO:0001077,proximal promoter DNA-binding transcript...,11,0,0.29,1.00000
GO:0001085,RNA polymerase II transcription factor b...,9,0,0.24,1.00000
GO:0001098,basal transcription machinery binding,2,0,0.05,1.00000
GO:0001099,basal RNA polymerase II transcription ma...,2,0,0.05,1.00000
GO:0001102,RNA polymerase II activating transcripti...,9,0,0.24,1.00000
GO:0001103,RNA polymerase II repressing transcripti...,6,0,0.16,1.00000
GO:0001147,transcription termination site sequence-...,3,0,0.08,1.00000
GO:0001160,transcription termination site DNA bindi...,3,0,0.08,1.00000
GO:0001540,amyloid-beta binding,3,0,0.08,1.00000
GO:0001664,G protein-coupled receptor binding,6,0,0.16,1.00000
GO:0001671,ATPase activator activity,1,0,0.03,1.00000
GO:0002020,protease binding,1,0,0.03,1.00000
GO:0002039,p53 binding,5,0,0.13,1.00000
GO:0003688,DNA replication origin binding,1,0,0.03,1.00000
GO:0003697,single-stranded DNA binding,7,0,0.19,1.00000
GO:0003707,steroid hormone receptor activity,4,0,0.11,1.00000
GO:0003712,transcription coregulator activity,16,0,0.43,1.00000
GO:0003713,transcription coactivator activity,10,0,0.27,1.00000
GO:0003714,transcription corepressor activity,6,0,0.16,1.00000
GO:0003725,double-stranded RNA binding,8,0,0.21,1.00000
GO:0003727,single-stranded RNA binding,5,0,0.13,1.00000
GO:0003729,mRNA binding,41,0,1.1,1.00000
GO:0003730,mRNA 3'-UTR binding,8,0,0.21,1.00000
GO:0003735,structural constituent of ribosome,2,0,0.05,1.00000
GO:0003743,translation initiation factor activity,1,0,0.03,1.00000
GO:0003827,alpha-1,3-mannosylglycoprotein 2-beta-N-...,2,0,0.05,1.00000
GO:0003857,3-hydroxyacyl-CoA dehydrogenase activity,1,0,0.03,1.00000
GO:0003870,5-aminolevulinate synthase activity,4,0,0.11,1.00000
GO:0003899,DNA-directed 5'-3' RNA polymerase activi...,4,0,0.11,1.00000
GO:0003906,DNA-(apurinic or apyrimidinic site) endo...,1,0,0.03,1.00000
GO:0003909,DNA ligase activity,4,0,0.11,1.00000
GO:0003910,DNA ligase (ATP) activity,4,0,0.11,1.00000
GO:0003920,GMP reductase activity,1,0,0.03,1.00000
GO:0003937,IMP cyclohydrolase activity,1,0,0.03,1.00000
GO:0003950,NAD+ ADP-ribosyltransferase activity,8,0,0.21,1.00000
GO:0003954,NADH dehydrogenase activity,1,0,0.03,1.00000
GO:0003993,acid phosphatase activity,1,0,0.03,1.00000
GO:0003994,aconitate hydratase activity,5,0,0.13,1.00000
GO:0004021,L-alanine:2-oxoglutarate aminotransferas...,1,0,0.03,1.00000
GO:0004075,biotin carboxylase activity,7,0,0.19,1.00000
GO:0004095,carnitine O-palmitoyltransferase activit...,4,0,0.11,1.00000
GO:0004112,cyclic-nucleotide phosphodiesterase acti...,1,0,0.03,1.00000
GO:0004114,3',5'-cyclic-nucleotide phosphodiesteras...,1,0,0.03,1.00000
GO:0004115,3',5'-cyclic-AMP phosphodiesterase activ...,1,0,0.03,1.00000
GO:0004119,cGMP-inhibited cyclic-nucleotide phospho...,1,0,0.03,1.00000
GO:0004128,cytochrome-b5 reductase activity, acting...,4,0,0.11,1.00000
GO:0004177,aminopeptidase activity,4,0,0.11,1.00000
GO:0004190,aspartic-type endopeptidase activity,2,0,0.05,1.00000
GO:0004222,metalloendopeptidase activity,2,0,0.05,1.00000
GO:0004333,fumarate hydratase activity,1,0,0.03,1.00000
GO:0004348,glucosylceramidase activity,3,0,0.08,1.00000
GO:0004349,glutamate 5-kinase activity,5,0,0.13,1.00000
GO:0004350,glutamate-5-semialdehyde dehydrogenase a...,5,0,0.13,1.00000
GO:0004355,glutamate synthase (NADPH) activity,5,0,0.13,1.00000
GO:0004402,histone acetyltransferase activity,1,0,0.03,1.00000
GO:0004407,histone deacetylase activity,6,0,0.16,1.00000
GO:0004435,phosphatidylinositol phospholipase C act...,10,0,0.27,1.00000
GO:0004445,inositol-polyphosphate 5-phosphatase act...,1,0,0.03,1.00000
GO:0004497,monooxygenase activity,3,0,0.08,1.00000
GO:0004519,endonuclease activity,4,0,0.11,1.00000
GO:0004520,endodeoxyribonuclease activity,4,0,0.11,1.00000
GO:0004529,exodeoxyribonuclease activity,3,0,0.08,1.00000
GO:0004532,exoribonuclease activity,1,0,0.03,1.00000
GO:0004536,deoxyribonuclease activity,4,0,0.11,1.00000
GO:0004540,ribonuclease activity,1,0,0.03,1.00000
GO:0004553,hydrolase activity, hydrolyzing O-glycos...,6,0,0.16,1.00000
GO:0004559,alpha-mannosidase activity,3,0,0.08,1.00000
GO:0004571,mannosyl-oligosaccharide 1,2-alpha-manno...,2,0,0.05,1.00000
GO:0004572,mannosyl-oligosaccharide 1,3-1,6-alpha-m...,1,0,0.03,1.00000
GO:0004594,pantothenate kinase activity,1,0,0.03,1.00000
GO:0004601,peroxidase activity,1,0,0.03,1.00000
GO:0004620,phospholipase activity,14,0,0.37,1.00000
GO:0004629,phospholipase C activity,10,0,0.27,1.00000
GO:0004643,phosphoribosylaminoimidazolecarboxamide ...,1,0,0.03,1.00000
GO:0004652,polynucleotide adenylyltransferase activ...,4,0,0.11,1.00000
GO:0004653,polypeptide N-acetylgalactosaminyltransf...,2,0,0.05,1.00000
GO:0004658,propionyl-CoA carboxylase activity,1,0,0.03,1.00000
GO:0004677,DNA-dependent protein kinase activity,3,0,0.08,1.00000
GO:0004694,eukaryotic translation initiation factor...,1,0,0.03,1.00000
GO:0004712,protein serine/threonine/tyrosine kinase...,4,0,0.11,1.00000
GO:0004715,non-membrane spanning protein tyrosine k...,2,0,0.05,1.00000
GO:0004721,phosphoprotein phosphatase activity,1,0,0.03,1.00000
GO:0004725,protein tyrosine phosphatase activity,1,0,0.03,1.00000
GO:0004729,oxygen-dependent protoporphyrinogen oxid...,1,0,0.03,1.00000
GO:0004736,pyruvate carboxylase activity,6,0,0.16,1.00000
GO:0004738,pyruvate dehydrogenase activity,1,0,0.03,1.00000
GO:0004767,sphingomyelin phosphodiesterase activity,4,0,0.11,1.00000
GO:0004812,aminoacyl-tRNA ligase activity,2,0,0.05,1.00000
GO:0004818,glutamate-tRNA ligase activity,2,0,0.05,1.00000
GO:0004827,proline-tRNA ligase activity,2,0,0.05,1.00000
GO:0004860,protein kinase inhibitor activity,1,0,0.03,1.00000
GO:0004879,nuclear receptor activity,4,0,0.11,1.00000
GO:0005109,frizzled binding,6,0,0.16,1.00000
GO:0005126,cytokine receptor binding,9,0,0.24,1.00000
GO:0005158,insulin receptor binding,4,0,0.11,1.00000
GO:0005160,transforming growth factor beta receptor...,1,0,0.03,1.00000
GO:0005165,neurotrophin receptor binding,8,0,0.21,1.00000
GO:0005167,neurotrophin TRK receptor binding,8,0,0.21,1.00000
GO:0005168,neurotrophin TRKA receptor binding,8,0,0.21,1.00000
GO:0005200,structural constituent of cytoskeleton,1,0,0.03,1.00000
GO:0005201,extracellular matrix structural constitu...,3,0,0.08,1.00000
GO:0005217,intracellular ligand-gated ion channel a...,3,0,0.08,1.00000
GO:0005219,ryanodine-sensitive calcium-release chan...,1,0,0.03,1.00000
GO:0005227,calcium activated cation channel activit...,1,0,0.03,1.00000
GO:0005229,intracellular calcium activated chloride...,1,0,0.03,1.00000
GO:0005242,inward rectifier potassium channel activ...,2,0,0.05,1.00000
GO:0005249,voltage-gated potassium channel activity,2,0,0.05,1.00000
GO:0005261,cation channel activity,8,0,0.21,1.00000
GO:0005262,calcium channel activity,1,0,0.03,1.00000
GO:0005267,potassium channel activity,2,0,0.05,1.00000
GO:0005272,sodium channel activity,2,0,0.05,1.00000
GO:0005337,nucleoside transmembrane transporter act...,1,0,0.03,1.00000
GO:0005344,oxygen carrier activity,1,0,0.03,1.00000
GO:0005355,glucose transmembrane transporter activi...,1,0,0.03,1.00000
GO:0005384,manganese ion transmembrane transporter ...,2,0,0.05,1.00000
GO:0005385,zinc ion transmembrane transporter activ...,1,0,0.03,1.00000
GO:0005388,calcium-transporting ATPase activity,14,0,0.37,1.00000
