geneID,Uniprot,evalue,Product,GOSlim
CGI_10003308,P49139,1e-177,MAP kinase-activated protein kinase 2 (MAPK-activated protein kinase 2) (MAPKAP kinase 2) (MAPKAP-K2) (MAPKAPK-2) (MK-2) (MK2) (EC 2.7.11.1) (Fragment),stress response
CGI_10003316,Q9Y2G3,0,Probable phospholipid-transporting ATPase IF (EC 3.6.3.1) (ATPase IR) (ATPase class VI type 11B) (P4-ATPase flippase complex alpha subunit ATP11B),cell organization and biogenesis
CGI_10003316,Q9Y2G3,0,Probable phospholipid-transporting ATPase IF (EC 3.6.3.1) (ATPase IR) (ATPase class VI type 11B) (P4-ATPase flippase complex alpha subunit ATP11B),transport
CGI_10003400,Q9H3S7,1e-151,Tyrosine-protein phosphatase non-receptor type 23 (EC 3.1.3.48) (His domain-containing protein tyrosine phosphatase) (HD-PTP) (Protein tyrosine phosphatase TD14) (PTP-TD14),transport
CGI_10003400,Q9H3S7,1e-151,Tyrosine-protein phosphatase non-receptor type 23 (EC 3.1.3.48) (His domain-containing protein tyrosine phosphatase) (HD-PTP) (Protein tyrosine phosphatase TD14) (PTP-TD14),protein metabolism
CGI_10003400,Q9H3S7,1e-151,Tyrosine-protein phosphatase non-receptor type 23 (EC 3.1.3.48) (His domain-containing protein tyrosine phosphatase) (HD-PTP) (Protein tyrosine phosphatase TD14) (PTP-TD14),cell organization and biogenesis
CGI_10003458,P70207,5e-08,Plexin-A2 (Plex 2) (Plexin-2),signal transduction
CGI_10003458,P70207,5e-08,Plexin-A2 (Plex 2) (Plexin-2),cell organization and biogenesis
CGI_10003458,P70207,5e-08,Plexin-A2 (Plex 2) (Plexin-2),developmental processes
CGI_10003467,O14981,0,TATA-binding protein-associated factor 172 (EC 3.6.4.-) (ATP-dependent helicase BTAF1) (B-TFIID transcription factor-associated 170 kDa subunit) (TAF(II)170) (TBP-associated factor 172) (TAF-172),RNA metabolism
CGI_10003741,Q8CGS4,8e-82,Charged multivesicular body protein 3 (Chromatin-modifying protein 3) (Vacuolar protein sorting-associated protein 24) (rVps24p),cell cycle and proliferation
CGI_10003741,Q8CGS4,8e-82,Charged multivesicular body protein 3 (Chromatin-modifying protein 3) (Vacuolar protein sorting-associated protein 24) (rVps24p),transport
CGI_10004088,Q5F339,5e-94,Cytochrome c-type heme lyase (CCHL) (EC 4.4.1.17) (Holocytochrome c-type synthase),protein metabolism
CGI_10004088,Q5F339,5e-94,Cytochrome c-type heme lyase (CCHL) (EC 4.4.1.17) (Holocytochrome c-type synthase),cell organization and biogenesis
CGI_10004178,Q8WV93,2e-138,AFG1-like ATPase (Lactation elevated protein 1) (EC 3.6.-.-) (Protein AFG1 homolog),cell organization and biogenesis
CGI_10004335,Q95ZJ1,3e-138,Polypeptide N-acetylgalactosaminyltransferase 5 (pp-GaNTase 5) (EC 2.4.1.41) (Protein-UDP acetylgalactosaminyltransferase 5) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 5),protein metabolism
CGI_10004548,Q2KIB5,1e-21,V-type proton ATPase subunit e 2 (V-ATPase subunit e 2) (Vacuolar proton pump subunit e 2),transport
CGI_10004606,O43826,6e-79,Glucose-6-phosphate exchanger SLC37A4 (Glucose-5-phosphate transporter) (Glucose-6-phosphate translocase) (Solute carrier family 37 member 4) (Transformation-related gene 19 protein) (TRG-19),other metabolic processes
CGI_10004606,O43826,6e-79,Glucose-6-phosphate exchanger SLC37A4 (Glucose-5-phosphate transporter) (Glucose-6-phosphate translocase) (Solute carrier family 37 member 4) (Transformation-related gene 19 protein) (TRG-19),transport
CGI_10004647,P62597,7e-43,Protection of telomeres protein 1 (cPot1) (POT1-like telomere end-binding protein),cell organization and biogenesis
CGI_10004647,P62597,7e-43,Protection of telomeres protein 1 (cPot1) (POT1-like telomere end-binding protein),DNA metabolism
CGI_10004707,Q8TF62,4e-131,Probable phospholipid-transporting ATPase IM (EC 3.6.3.1) (ATPase class I type 8B member 4) (P4-ATPase flippase complex alpha subunit ATP8B4),cell organization and biogenesis
CGI_10004707,Q8TF62,4e-131,Probable phospholipid-transporting ATPase IM (EC 3.6.3.1) (ATPase class I type 8B member 4) (P4-ATPase flippase complex alpha subunit ATP8B4),transport
CGI_10004725,E1C1R4,0,Ubiquitin carboxyl-terminal hydrolase 47 (EC 3.4.19.12) (Deubiquitinating enzyme 47) (Ubiquitin thioesterase 47) (Ubiquitin-specific-processing protease 47),DNA metabolism
CGI_10004725,E1C1R4,0,Ubiquitin carboxyl-terminal hydrolase 47 (EC 3.4.19.12) (Deubiquitinating enzyme 47) (Ubiquitin thioesterase 47) (Ubiquitin-specific-processing protease 47),death
CGI_10004725,E1C1R4,0,Ubiquitin carboxyl-terminal hydrolase 47 (EC 3.4.19.12) (Deubiquitinating enzyme 47) (Ubiquitin thioesterase 47) (Ubiquitin-specific-processing protease 47),protein metabolism
CGI_10004725,E1C1R4,0,Ubiquitin carboxyl-terminal hydrolase 47 (EC 3.4.19.12) (Deubiquitinating enzyme 47) (Ubiquitin thioesterase 47) (Ubiquitin-specific-processing protease 47),stress response
CGI_10004725,E1C1R4,0,Ubiquitin carboxyl-terminal hydrolase 47 (EC 3.4.19.12) (Deubiquitinating enzyme 47) (Ubiquitin thioesterase 47) (Ubiquitin-specific-processing protease 47),RNA metabolism
CGI_10004766,P50429,8e-133,Arylsulfatase B (ASB) (EC 3.1.6.12) (N-acetylgalactosamine-4-sulfatase) (G4S),other metabolic processes
CGI_10004766,P50429,8e-133,Arylsulfatase B (ASB) (EC 3.1.6.12) (N-acetylgalactosamine-4-sulfatase) (G4S),cell organization and biogenesis
CGI_10004766,P50429,8e-133,Arylsulfatase B (ASB) (EC 3.1.6.12) (N-acetylgalactosamine-4-sulfatase) (G4S),developmental processes
CGI_10005033,P0C8Z3,0,Ubiquitin carboxyl-terminal hydrolase 22 (EC 3.4.19.12) (Deubiquitinating enzyme 22) (Ubiquitin thioesterase 22) (Ubiquitin-specific-processing protease 22),RNA metabolism
CGI_10005033,P0C8Z3,0,Ubiquitin carboxyl-terminal hydrolase 22 (EC 3.4.19.12) (Deubiquitinating enzyme 22) (Ubiquitin thioesterase 22) (Ubiquitin-specific-processing protease 22),cell cycle and proliferation
CGI_10005033,P0C8Z3,0,Ubiquitin carboxyl-terminal hydrolase 22 (EC 3.4.19.12) (Deubiquitinating enzyme 22) (Ubiquitin thioesterase 22) (Ubiquitin-specific-processing protease 22),protein metabolism
CGI_10005033,P0C8Z3,0,Ubiquitin carboxyl-terminal hydrolase 22 (EC 3.4.19.12) (Deubiquitinating enzyme 22) (Ubiquitin thioesterase 22) (Ubiquitin-specific-processing protease 22),cell organization and biogenesis
CGI_10005126,Q9ULV0,0,Unconventional myosin-Vb,transport
CGI_10005133,Q8R4E0,5e-34,Interferon regulatory factor 2 (IRF-2),cell cycle and proliferation
CGI_10005133,Q8R4E0,5e-34,Interferon regulatory factor 2 (IRF-2),RNA metabolism
CGI_10005214,Q9NZW4,2e-06,Dentin sialophosphoprotein [Cleaved into: Dentin phosphoprotein (Dentin phosphophoryn) (DPP); Dentin sialoprotein (DSP)],cell organization and biogenesis
CGI_10005214,Q9NZW4,2e-06,Dentin sialophosphoprotein [Cleaved into: Dentin phosphoprotein (Dentin phosphophoryn) (DPP); Dentin sialoprotein (DSP)],developmental processes
CGI_10005249,Q9Y4A5,0,Transformation/transcription domain-associated protein (350/400 kDa PCAF-associated factor) (PAF350/400) (STAF40) (Tra1 homolog),DNA metabolism
CGI_10005249,Q9Y4A5,0,Transformation/transcription domain-associated protein (350/400 kDa PCAF-associated factor) (PAF350/400) (STAF40) (Tra1 homolog),protein metabolism
CGI_10005249,Q9Y4A5,0,Transformation/transcription domain-associated protein (350/400 kDa PCAF-associated factor) (PAF350/400) (STAF40) (Tra1 homolog),RNA metabolism
CGI_10005249,Q9Y4A5,0,Transformation/transcription domain-associated protein (350/400 kDa PCAF-associated factor) (PAF350/400) (STAF40) (Tra1 homolog),stress response
CGI_10005249,Q9Y4A5,0,Transformation/transcription domain-associated protein (350/400 kDa PCAF-associated factor) (PAF350/400) (STAF40) (Tra1 homolog),cell organization and biogenesis
CGI_10005253,Q7TPD0,0,Integrator complex subunit 3 (Int3) (SOSS complex subunit A) (Sensor of single-strand DNA complex subunit A) (SOSS-A) (Sensor of ssDNA subunit A),RNA metabolism
CGI_10005253,Q7TPD0,0,Integrator complex subunit 3 (Int3) (SOSS complex subunit A) (Sensor of single-strand DNA complex subunit A) (SOSS-A) (Sensor of ssDNA subunit A),stress response
CGI_10005253,Q7TPD0,0,Integrator complex subunit 3 (Int3) (SOSS complex subunit A) (Sensor of single-strand DNA complex subunit A) (SOSS-A) (Sensor of ssDNA subunit A),cell cycle and proliferation
CGI_10005253,Q7TPD0,0,Integrator complex subunit 3 (Int3) (SOSS complex subunit A) (Sensor of single-strand DNA complex subunit A) (SOSS-A) (Sensor of ssDNA subunit A),DNA metabolism
CGI_10005392,Q13490,2e-44,Baculoviral IAP repeat-containing protein 2 (EC 2.3.2.27) (Cellular inhibitor of apoptosis 1) (C-IAP1) (IAP homolog B) (Inhibitor of apoptosis protein 2) (hIAP-2) (hIAP2) (RING finger protein 48) (RING-type E3 ubiquitin transferase BIRC2) (TNFR2-TRAF-signaling complex protein 2),signal transduction
CGI_10005392,Q13490,2e-44,Baculoviral IAP repeat-containing protein 2 (EC 2.3.2.27) (Cellular inhibitor of apoptosis 1) (C-IAP1) (IAP homolog B) (Inhibitor of apoptosis protein 2) (hIAP-2) (hIAP2) (RING finger protein 48) (RING-type E3 ubiquitin transferase BIRC2) (TNFR2-TRAF-signaling complex protein 2),developmental processes
CGI_10005392,Q13490,2e-44,Baculoviral IAP repeat-containing protein 2 (EC 2.3.2.27) (Cellular inhibitor of apoptosis 1) (C-IAP1) (IAP homolog B) (Inhibitor of apoptosis protein 2) (hIAP-2) (hIAP2) (RING finger protein 48) (RING-type E3 ubiquitin transferase BIRC2) (TNFR2-TRAF-signaling complex protein 2),cell cycle and proliferation
CGI_10005392,Q13490,2e-44,Baculoviral IAP repeat-containing protein 2 (EC 2.3.2.27) (Cellular inhibitor of apoptosis 1) (C-IAP1) (IAP homolog B) (Inhibitor of apoptosis protein 2) (hIAP-2) (hIAP2) (RING finger protein 48) (RING-type E3 ubiquitin transferase BIRC2) (TNFR2-TRAF-signaling complex protein 2),protein metabolism
CGI_10005392,Q13490,2e-44,Baculoviral IAP repeat-containing protein 2 (EC 2.3.2.27) (Cellular inhibitor of apoptosis 1) (C-IAP1) (IAP homolog B) (Inhibitor of apoptosis protein 2) (hIAP-2) (hIAP2) (RING finger protein 48) (RING-type E3 ubiquitin transferase BIRC2) (TNFR2-TRAF-signaling complex protein 2),stress response
CGI_10005392,Q13490,2e-44,Baculoviral IAP repeat-containing protein 2 (EC 2.3.2.27) (Cellular inhibitor of apoptosis 1) (C-IAP1) (IAP homolog B) (Inhibitor of apoptosis protein 2) (hIAP-2) (hIAP2) (RING finger protein 48) (RING-type E3 ubiquitin transferase BIRC2) (TNFR2-TRAF-signaling complex protein 2),RNA metabolism
CGI_10005392,Q13490,2e-44,Baculoviral IAP repeat-containing protein 2 (EC 2.3.2.27) (Cellular inhibitor of apoptosis 1) (C-IAP1) (IAP homolog B) (Inhibitor of apoptosis protein 2) (hIAP-2) (hIAP2) (RING finger protein 48) (RING-type E3 ubiquitin transferase BIRC2) (TNFR2-TRAF-signaling complex protein 2),death
CGI_10005392,Q13490,2e-44,Baculoviral IAP repeat-containing protein 2 (EC 2.3.2.27) (Cellular inhibitor of apoptosis 1) (C-IAP1) (IAP homolog B) (Inhibitor of apoptosis protein 2) (hIAP-2) (hIAP2) (RING finger protein 48) (RING-type E3 ubiquitin transferase BIRC2) (TNFR2-TRAF-signaling complex protein 2),cell organization and biogenesis
CGI_10005632,B4U7S7,7e-28,Probable transcriptional regulatory protein HY04AAS1_0501,RNA metabolism
CGI_10005801,P17439,3e-83,Glucosylceramidase (EC 3.2.1.45) (Acid beta-glucosidase) (Beta-glucocerebrosidase) (D-glucosyl-N-acylsphingosine glucohydrolase),protein metabolism
CGI_10005801,P17439,3e-83,Glucosylceramidase (EC 3.2.1.45) (Acid beta-glucosidase) (Beta-glucocerebrosidase) (D-glucosyl-N-acylsphingosine glucohydrolase),other metabolic processes
CGI_10005801,P17439,3e-83,Glucosylceramidase (EC 3.2.1.45) (Acid beta-glucosidase) (Beta-glucocerebrosidase) (D-glucosyl-N-acylsphingosine glucohydrolase),developmental processes
CGI_10005801,P17439,3e-83,Glucosylceramidase (EC 3.2.1.45) (Acid beta-glucosidase) (Beta-glucocerebrosidase) (D-glucosyl-N-acylsphingosine glucohydrolase),cell organization and biogenesis
CGI_10005801,P17439,3e-83,Glucosylceramidase (EC 3.2.1.45) (Acid beta-glucosidase) (Beta-glucocerebrosidase) (D-glucosyl-N-acylsphingosine glucohydrolase),stress response
CGI_10005904,P05455,4e-25,Lupus La protein (La autoantigen) (La ribonucleoprotein) (Sjoegren syndrome type B antigen) (SS-B),transport
CGI_10005904,P05455,4e-25,Lupus La protein (La autoantigen) (La ribonucleoprotein) (Sjoegren syndrome type B antigen) (SS-B),RNA metabolism
CGI_10005915,B5X2B8,4e-53,GTPase Era, mitochondrial (ERA-like protein 1),cell organization and biogenesis
CGI_10005980,Q74GW7,3e-37,tRNA 2-thiocytidine biosynthesis protein TtcA,RNA metabolism
CGI_10006326,P51947,6e-66,Cyclin-H (MO15-associated protein) (p36),RNA metabolism
CGI_10006326,P51947,6e-66,Cyclin-H (MO15-associated protein) (p36),cell cycle and proliferation
CGI_10006374,Q3HNM7,8e-100,Protein inscuteable homolog (Minsc),cell organization and biogenesis
CGI_10006374,Q3HNM7,8e-100,Protein inscuteable homolog (Minsc),developmental processes
CGI_10006374,Q3HNM7,8e-100,Protein inscuteable homolog (Minsc),cell cycle and proliferation
CGI_10006381,Q9UHJ3,0,Scm-like with four MBT domains protein 1 (hSFMBT) (Renal ubiquitous protein 1),developmental processes
CGI_10006381,Q9UHJ3,0,Scm-like with four MBT domains protein 1 (hSFMBT) (Renal ubiquitous protein 1),cell organization and biogenesis
CGI_10006381,Q9UHJ3,0,Scm-like with four MBT domains protein 1 (hSFMBT) (Renal ubiquitous protein 1),RNA metabolism
CGI_10006403,O60306,0,Intron-binding protein aquarius (Intron-binding protein of 160 kDa) (IBP160),RNA metabolism
CGI_10006403,O60306,0,Intron-binding protein aquarius (Intron-binding protein of 160 kDa) (IBP160),stress response
CGI_10006403,O60306,0,Intron-binding protein aquarius (Intron-binding protein of 160 kDa) (IBP160),DNA metabolism
CGI_10006425,A6QR44,1e-85,Microprocessor complex subunit DGCR8 (DiGeorge syndrome critical region 8 homolog),RNA metabolism
CGI_10006474,Q9NYQ6,0,Cadherin EGF LAG seven-pass G-type receptor 1 (Cadherin family member 9) (Flamingo homolog 2) (hFmi2),signal transduction
CGI_10006474,Q9NYQ6,0,Cadherin EGF LAG seven-pass G-type receptor 1 (Cadherin family member 9) (Flamingo homolog 2) (hFmi2),cell adhesion
CGI_10006474,Q9NYQ6,0,Cadherin EGF LAG seven-pass G-type receptor 1 (Cadherin family member 9) (Flamingo homolog 2) (hFmi2),stress response
CGI_10006474,Q9NYQ6,0,Cadherin EGF LAG seven-pass G-type receptor 1 (Cadherin family member 9) (Flamingo homolog 2) (hFmi2),developmental processes
CGI_10006474,Q9NYQ6,0,Cadherin EGF LAG seven-pass G-type receptor 1 (Cadherin family member 9) (Flamingo homolog 2) (hFmi2),cell organization and biogenesis
CGI_10006664,O29230,7e-07,DNA double-strand break repair Rad50 ATPase,DNA metabolism
CGI_10006664,O29230,7e-07,DNA double-strand break repair Rad50 ATPase,stress response
CGI_10006703,Q5W0Z9,2e-113,Probable palmitoyltransferase ZDHHC20 (EC 2.3.1.225) (Zinc finger DHHC domain-containing protein 20) (DHHC-20),protein metabolism
CGI_10006854,Q60HD5,3e-74,Protoporphyrinogen oxidase (PPO) (EC 1.3.3.4),other metabolic processes
CGI_10006924,P52590,0,Nuclear pore complex protein Nup107 (107 kDa nucleoporin) (Nucleoporin Nup107) (p105),cell organization and biogenesis
CGI_10006924,P52590,0,Nuclear pore complex protein Nup107 (107 kDa nucleoporin) (Nucleoporin Nup107) (p105),RNA metabolism
CGI_10006924,P52590,0,Nuclear pore complex protein Nup107 (107 kDa nucleoporin) (Nucleoporin Nup107) (p105),transport
CGI_10006975,Q12996,0,Cleavage stimulation factor subunit 3 (CF-1 77 kDa subunit) (Cleavage stimulation factor 77 kDa subunit) (CSTF 77 kDa subunit) (CstF-77),RNA metabolism
CGI_10006975,Q12996,0,Cleavage stimulation factor subunit 3 (CF-1 77 kDa subunit) (Cleavage stimulation factor 77 kDa subunit) (CSTF 77 kDa subunit) (CstF-77),cell organization and biogenesis
CGI_10006996,P84798,7e-14,DNA polymerase delta subunit 3 (DNA polymerase delta subunit p66) (p68),DNA metabolism
CGI_10006996,P84798,7e-14,DNA polymerase delta subunit 3 (DNA polymerase delta subunit p66) (p68),stress response
CGI_10007033,Q8BJ34,0,Meiosis regulator and mRNA stability factor 1 (Limkain-b1) (Meiosis arrest female protein 1),stress response
CGI_10007033,Q8BJ34,0,Meiosis regulator and mRNA stability factor 1 (Limkain-b1) (Meiosis arrest female protein 1),cell cycle and proliferation
CGI_10007033,Q8BJ34,0,Meiosis regulator and mRNA stability factor 1 (Limkain-b1) (Meiosis arrest female protein 1),other metabolic processes
CGI_10007033,Q8BJ34,0,Meiosis regulator and mRNA stability factor 1 (Limkain-b1) (Meiosis arrest female protein 1),DNA metabolism
CGI_10007140,P22292,1e-135,Mitochondrial 2-oxoglutarate/malate carrier protein (OGCP) (Solute carrier family 25 member 11),transport
CGI_10007347,Q8K4K5,0,Lethal(2) giant larvae protein homolog 1 (LLGL) (Rgl-1),cell organization and biogenesis
CGI_10007347,Q8K4K5,0,Lethal(2) giant larvae protein homolog 1 (LLGL) (Rgl-1),developmental processes
CGI_10007347,Q8K4K5,0,Lethal(2) giant larvae protein homolog 1 (LLGL) (Rgl-1),transport
CGI_10007640,O75533,0,Splicing factor 3B subunit 1 (Pre-mRNA-splicing factor SF3b 155 kDa subunit) (SF3b155) (Spliceosome-associated protein 155) (SAP 155),other metabolic processes
CGI_10007640,O75533,0,Splicing factor 3B subunit 1 (Pre-mRNA-splicing factor SF3b 155 kDa subunit) (SF3b155) (Spliceosome-associated protein 155) (SAP 155),cell organization and biogenesis
